sport,dport,ack_in,ack_out,byte,duration,flow,inbyte,outbyte,inpacket,outpacket,packet,psh_in,psh_out
65485,443,36,34,7778,1000000,1,3341,4437,36,34,70,11,25
65485,443,91,91,22323,1000000,1,5212,17111,91,91,182,2,89
65485,443,81,80,19410,1000000,1,4755,14655,81,80,161,3,77
65485,443,96,97,23293,1000000,1,5819,17474,96,97,193,5,92
65485,443,97,96,23241,1000000,1,6405,16836,97,96,193,9,89
65485,443,47,46,11186,1000000,1,3173,8013,47,46,93,5,42
65485,443,67,66,15902,1000000,1,4507,11395,67,66,133,7,60
65485,443,64,64,15519,1000000,1,4091,11428,64,64,128,5,59
65485,443,63,64,14960,1000000,1,4418,10542,63,64,127,8,56
65485,443,60,60,14592,1000000,1,4046,10546,60,60,120,6,54
65485,443,67,67,16485,1000000,1,3999,12486,67,67,134,3,64
65485,443,95,96,22926,1000000,1,5904,17022,95,96,191,6,90
65485,443,126,126,30493,1000000,1,7602,22891,126,126,252,6,120
65485,443,91,90,21902,1000000,1,5327,16575,91,90,181,3,87
65485,443,88,92,21425,1000000,1,5641,15784,88,92,180,7,84
65485,443,89,88,21752,1000000,1,5314,16438,89,88,177,4,86
65485,443,73,73,17011,1000000,1,5085,11926,73,73,146,9,64
65485,443,95,96,22562,1000000,1,6317,16245,95,96,191,9,87
65485,443,103,103,24498,1000000,1,6602,17896,103,103,206,8,95
65485,443,96,96,23263,1000000,1,5633,17630,96,96,192,3,93
65485,443,104,105,25572,1000000,1,6117,19455,104,105,209,3,102
65485,443,79,79,18354,1000000,1,5536,12818,79,79,158,10,69
65485,443,56,57,13212,1000000,1,3913,9299,56,57,113,7,50
65485,443,92,91,22065,1000000,1,6008,16057,92,91,183,8,84
65485,443,58,58,13621,1000000,1,4021,9600,58,58,116,7,51
